ACTIVITY_DATE,COHORT_YM,RETAINED_ACCOUNTS,RETAINED_REV,RETAINED_GMV
2015-01-01,2015-08-01,1,11927856,554327844
2016-01-01,2015-08-01,1,11927856,554327844
2017-01-01,2015-08-01,1,11927856,554327844
2018-01-01,2015-08-01,1,11927856,554327844
2019-01-01,2015-08-01,1,11927856,554327844
2020-01-01,2015-08-01,1,11927856,554327844
2021-01-01,2015-08-01,1,11927856,554327844
2022-01-01,2015-08-01,1,11927856,554327844
2023-01-01,2015-08-01,1,11927856,554327844
2024-01-01,2015-08-01,1,11927856,554327844
2015-01-01,2016-01-01,0,0,0
2016-01-01,2016-01-01,1,221893,25686169
2017-01-01,2016-01-01,0,0,0
2018-01-01,2016-01-01,0,0,0
2019-01-01,2016-01-01,0,0,0
2020-01-01,2016-01-01,0,0,0
2021-01-01,2016-01-01,0,0,0
2022-01-01,2016-01-01,1,221893,25686169
2023-01-01,2016-01-01,1,221893,25686169
2024-01-01,2016-01-01,1,221893,25686169
2015-01-01,2016-02-01,0,0,0
2016-01-01,2016-02-01,1,20314,250000
2017-01-01,2016-02-01,0,0,0
2018-01-01,2016-02-01,0,0,0
2019-01-01,2016-02-01,0,0,0
2020-01-01,2016-02-01,0,0,0
2021-01-01,2016-02-01,0,0,0
2022-01-01,2016-02-01,0,0,0
2023-01-01,2016-02-01,0,0,0
2024-01-01,2016-02-01,0,0,0
2015-01-01,2016-06-01,0,0,0
2016-01-01,2016-06-01,1,32806,1800000
2017-01-01,2016-06-01,0,0,0
2018-01-01,2016-06-01,0,0,0
2019-01-01,2016-06-01,0,0,0
2020-01-01,2016-06-01,0,0,0
2021-01-01,2016-06-01,0,0,0
2022-01-01,2016-06-01,0,0,0
2023-01-01,2016-06-01,0,0,0
2024-01-01,2016-06-01,0,0,0
2015-01-01,2016-08-01,0,0,0
2016-01-01,2016-08-01,1,196401,20250000
2017-01-01,2016-08-01,1,196401,20250000
2018-01-01,2016-08-01,0,0,0
2019-01-01,2016-08-01,0,0,0
2020-01-01,2016-08-01,0,0,0
2021-01-01,2016-08-01,0,0,0
2022-01-01,2016-08-01,0,0,0
2023-01-01,2016-08-01,0,0,0
2024-01-01,2016-08-01,0,0,0
2015-01-01,2016-10-01,0,0,0
2016-01-01,2016-10-01,1,77417,49225748
2017-01-01,2016-10-01,1,77417,49225748
2018-01-01,2016-10-01,1,77417,49225748
2019-01-01,2016-10-01,0,0,0
