ACTIVITY_DATE,ACCOUNT_CLASS,FIRST_PRODUCT_CATEGORY,COHORT_YM,COUNTRY,RETAINED_ACCOUNTS,CHURNED_ACCOUNTS,NEW_ACCOUNTS,"RETAINED ACCOUNTS (ROLLING WINDOW, NO NEW)",RETAINED_GMV,CHURNED_GMV,NEW_GMV,RETAINED GMV (NO NEW),RETAINED_REV,CHURNED_REV,NEW_REV,RETAINED REV (NO NEW)
2015-01-01,Mega Whale,OTHER,2020-03-01,United States,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-01,Mega Whale,OTHER,2020-03-01,United States,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-01,Mega Whale,OTHER,2020-03-01,United States,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-01,Mega Whale,OTHER,2020-03-01,United States,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-01,Mega Whale,OTHER,2020-03-01,United States,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-01,Mega Whale,OTHER,2020-03-01,United States,1,0,1,0,73462983.33,0.0,73462983.33,0.0,0.0,0.0,0.0,0.0
2021-01-01,Mega Whale,OTHER,2020-03-01,United States,0,1,0,0,0.0,73462983.33,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01,Mega Whale,OTHER,2020-03-01,United States,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01,Mega Whale,OTHER,2020-03-01,United States,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,Mega Whale,OTHER,2020-03-01,United States,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01,Mega Whale,PRESEASON,2017-01-01,Mexico,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-01,Mega Whale,PRESEASON,2017-01-01,Mexico,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-01,Mega Whale,PRESEASON,2017-01-01,Mexico,1,0,1,0,338059725.15999997,0.0,338059725.15999997,0.0,3959318.061020448,0.0,3959318.061020448,0.0
2018-01-01,Mega Whale,PRESEASON,2017-01-01,Mexico,1,0,0,1,338059725.15999997,0.0,0.0,338059725.15999997,3959318.061020448,0.0,0.0,3959318.061020448
2019-01-01,Mega Whale,PRESEASON,2017-01-01,Mexico,1,0,0,1,338059725.15999997,0.0,0.0,338059725.15999997,3959318.061020448,0.0,0.0,3959318.061020448
2020-01-01,Mega Whale,PRESEASON,2017-01-01,Mexico,1,0,0,1,338059725.15999997,0.0,0.0,338059725.15999997,3959318.061020448,0.0,0.0,3959318.061020448
2021-01-01,Mega Whale,PRESEASON,2017-01-01,Mexico,1,0,0,1,338059725.15999997,0.0,0.0,338059725.15999997,3959318.061020448,0.0,0.0,3959318.061020448
2022-01-01,Mega Whale,PRESEASON,2017-01-01,Mexico,1,0,0,1,338059725.15999997,0.0,0.0,338059725.15999997,3959318.061020448,0.0,0.0,3959318.061020448
2023-01-01,Mega Whale,PRESEASON,2017-01-01,Mexico,1,0,0,1,338059725.15999997,0.0,0.0,338059725.15999997,3959318.061020448,0.0,0.0,3959318.061020448
2024-01-01,Mega Whale,PRESEASON,2017-01-01,Mexico,0,1,0,0,0.0,338059725.15999997,0.0,0.0,0.0,3959318.061020448,0.0,0.0
2015-01-01,Mega Whale,PRESEASON,2020-05-01,Mexico,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-01,Mega Whale,PRESEASON,2020-05-01,Mexico,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-01,Mega Whale,PRESEASON,2020-05-01,Mexico,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-01,Mega Whale,PRESEASON,2020-05-01,Mexico,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-01,Mega Whale,PRESEASON,2020-05-01,Mexico,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-01,Mega Whale,PRESEASON,2020-05-01,Mexico,1,0,1,0,21502606.4,0.0,21502606.4,0.0,2072326.72698379,0.0,2072326.72698379,0.0
2021-01-01,Mega Whale,PRESEASON,2020-05-01,Mexico,1,0,0,1,21502606.4,0.0,0.0,21502606.4,2072326.72698379,0.0,0.0,2072326.72698379
2022-01-01,Mega Whale,PRESEASON,2020-05-01,Mexico,1,0,0,1,21502606.4,0.0,0.0,21502606.4,2072326.72698379,0.0,0.0,2072326.72698379
2023-01-01,Mega Whale,PRESEASON,2020-05-01,Mexico,0,1,0,0,0.0,21502606.4,0.0,0.0,0.0,2072326.72698379,0.0,0.0
2024-01-01,Mega Whale,PRESEASON,2020-05-01,Mexico,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01,Mega Whale,PRESEASON,2021-07-01,Mexico,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-01,Mega Whale,PRESEASON,2021-07-01,Mexico,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-01,Mega Whale,PRESEASON,2021-07-01,Mexico,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-01,Mega Whale,PRESEASON,2021-07-01,Mexico,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-01,Mega Whale,PRESEASON,2021-07-01,Mexico,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-01,Mega Whale,PRESEASON,2021-07-01,Mexico,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01,Mega Whale,PRESEASON,2021-07-01,Mexico,1,0,1,0,650740069.2,0.0,650740069.2,0.0,13668952.200410962,0.0,13668952.200410962,0.0
